trade_date,number_of_tickers,avg_close,avg_return,total_volume
2024-01-02,818,181.1805,,3090106377.0
2024-01-03,818,178.828,-0.016587,3030388709.0
2024-01-04,818,178.7265,-0.001757,2859281741.0
2024-01-05,818,178.7482,0.00326,2838864449.0
2024-01-08,818,157.2444,0.011732,3181528491.0
2024-01-09,818,180.4275,-0.006082,3163131493.0
2024-01-10,818,181.3574,0.004198,2846843293.0
2024-01-11,818,181.4668,-0.004038,3166343744.0
2024-01-12,818,181.2841,-0.002281,2822189718.0
2024-01-16,818,180.6643,-0.007526,3300405777.0
2024-01-17,818,179.5745,-0.008356,3050232821.0
2024-01-18,818,180.9417,0.005762,3351319988.0
2024-01-19,818,182.2728,0.008132,3607199583.0
2024-01-22,818,183.5856,0.007675,3421528164.0
2024-01-23,818,182.6313,6.5e-05,3070582085.0
2024-01-24,818,181.457,-0.003714,3774469450.0
2024-01-25,818,159.2786,0.01018,3785752674.0
2024-01-26,818,159.2122,0.00049,3108219708.0
2024-01-29,818,184.2539,0.006394,2959942829.0
2024-01-30,818,184.6121,-0.000482,3292430391.0
2024-01-31,818,182.3258,-0.014565,3983324820.0
2024-02-01,818,184.9237,0.011769,3493749188.0
2024-02-02,818,185.3115,-0.001931,3544938698.0
2024-02-05,818,184.2701,-0.010486,3478581838.0
2024-02-06,818,185.4674,0.007759,3399425700.0
2024-02-07,818,186.706,0.002844,3379814195.0
2024-02-08,818,163.0784,0.003202,3152384937.0
2024-02-09,818,187.5676,0.002425,3035071441.0
2024-02-12,818,188.3072,0.008601,3149107768.0
2024-02-13,818,185.1298,-0.020469,3528735167.0
2024-02-14,818,187.1093,0.010859,3098593608.0
2024-02-15,818,188.7157,0.013146,3157901920.0
2024-02-16,818,187.7608,-0.005811,3049224504.0
2024-02-20,818,186.9656,-0.004143,3441603818.0
2024-02-21,818,187.2979,0.002038,3196364180.0
2024-02-22,818,190.0223,0.008731,3689824874.0
2024-02-23,818,189.9751,0.002051,3276376237.0
2024-02-26,818,189.5226,-0.004391,2965654858.0
2024-02-27,818,189.953,0.00588,2787001401.0
2024-02-28,818,190.167,-0.001035,2660899502.0
2024-02-29,818,190.4733,0.005619,4062454497.0
2024-03-01,818,192.0263,0.005608,3234536250.0
2024-03-04,818,192.2392,0.002381,3666650186.0
2024-03-05,818,190.6546,-0.004578,3460758411.0
2024-03-06,818,191.911,0.005635,3443155868.0
2024-03-07,818,168.6876,0.008227,3263495188.0
2024-03-08,818,192.5679,-0.000608,3811700315.0
2024-03-11,818,192.3541,0.00154,3114238633.0
2024-03-12,818,193.5565,0.001747,3213983165.0
2024-03-13,818,193.2974,0.001477,3291421025.0
2024-03-14,818,191.8096,-0.010668,3526770625.0
2024-03-15,818,191.0997,-0.000361,6295857377.0
