ticker,company_name,sector,latest_close,latest_volume,latest_trade_date
A,,,133.1005401611328,993600,2024-12-30
AA,,,36.6208381652832,2570500,2024-12-30
AAL,,,17.6200008392334,20436400,2024-12-30
AAP,,,44.760215759277344,2896400,2024-12-30
AAPL,,,250.82977294921875,35557500,2024-12-30
ABBV,,,168.88836669921875,3405700,2024-12-30
ABKFQ,,,,,2024-12-30
ABMD,,,,,2024-12-30
ABNB,,,131.80999755859375,2458800,2024-12-30
ABT,,,110.14443969726562,3475800,2024-12-30
ACAS,,,,,2024-12-30
ACGL,,,91.88999938964844,1010000,2024-12-30
ACN,,,347.5282897949219,1490100,2024-12-30
ADBE,,,445.7999877929687,3473200,2024-12-30
ADI,,,208.4587554931641,2578300,2024-12-30
ADM,,,47.82914352416992,2676700,2024-12-30
ADP,,,284.2685241699219,1161800,2024-12-30
ADSK,,,297.5299987792969,1191200,2024-12-30
AEE,,,86.47888946533203,870700,2024-12-30
AEP,,,88.26189422607422,1661200,2024-12-30
AES,,,11.778573036193848,10800300,2024-12-30
AET,,,,,2024-12-30
AFL,,,100.22417449951172,1405700,2024-12-30
AGN,,,,,2024-12-30
AIG,,,71.03033447265625,3059500,2024-12-30
AIV,,,4.20461893081665,842000,2024-12-30
AIZ,,,208.21240234375,217600,2024-12-30
AJG,,,281.1315612792969,1709800,2024-12-30
AKAM,,,95.55999755859376,1087500,2024-12-30
AKS,,,,,2024-12-30
ALB,,,84.18040466308594,1729000,2024-12-30
ALGN,,,206.5800018310547,486300,2024-12-30
ALK,,,64.87000274658203,2379100,2024-12-30
ALL,,,187.892578125,1041700,2024-12-30
ALLE,,,129.4658203125,298200,2024-12-30
ALXN,,,,,2024-12-30
AMAT,,,161.8163604736328,4763100,2024-12-30
AMCC,,,,,2024-12-30
AMCR,,,44.88860702514648,1753600,2024-12-30
AMD,,,122.44000244140624,30501600,2024-12-30
AME,,,179.5314483642578,601800,2024-12-30
AMG,,,185.2068023681641,150400,2024-12-30
AMGN,,,249.39764404296875,3039300,2024-12-30
AMP,,,522.2862548828125,321000,2024-12-30
AMT,,,175.75193786621094,1887000,2024-12-30
AMZN,,,221.3000030517578,28321200,2024-12-30
AN,,,168.72000122070312,414100,2024-12-30
ANDV,,,,,2024-12-30
ANDW,,,,,2024-12-30
ANET,,,111.4499969482422,3527800,2024-12-30
ANF,,,154.64999389648438,2007600,2024-12-30
ANRZQ,,,,,2024-12-30
ANSS,,,,,2024-12-30
AON,,,355.8212890625,444400,2024-12-30
AOS,,,66.32027435302734,838900,2024-12-30
APA,,,21.09336280822754,4485700,2024-12-30
APC,,,,,2024-12-30
APD,,,279.4770202636719,816100,2024-12-30
APH,,,68.96918487548828,5513400,2024-12-30
APOL,,,,,2024-12-30
APTV,,,60.11000061035156,3186600,2024-12-30
ARE,,,90.63643646240234,1065500,2024-12-30
ARG,,,,,2024-12-30
ASH,,,68.3731918334961,325600,2024-12-30
ATGE,,,90.12999725341795,170010,2024-12-30
ATI,,,54.869998931884766,917100,2024-12-30
ATO,,,135.12005615234375,567500,2024-12-30
ATVI,,,,,2024-12-30
AVB,,,210.50181579589844,314700,2024-12-30
AVGO,,,233.4702911376953,27316800,2024-12-30
AVP,,,,,2024-12-30
AVY,,,182.41729736328125,533100,2024-12-30
AW,,,,,2024-12-30
AWE,,,,,2024-12-30
AWK,,,120.4424819946289,793200,2024-12-30
AXON,,,604.3200073242188,648900,2024-12-30
AXP,,,293.5091247558594,2392800,2024-12-30
AYE,,,,,2024-12-30
AYI,,,293.3011474609375,173800,2024-12-30
AZO,,,3185.7099609375,112500,2024-12-30
BA,,,176.5500030517578,18082300,2024-12-30
BAC,,,42.67478561401367,16109800,2024-12-30
BALL,,,53.98855972290039,1285700,2024-12-30
BAX,,,28.107467651367188,4993700,2024-12-30
BBBYQ,,,,,2024-12-30
BBWI,,,37.341156005859375,3019800,2024-12-30
BBY,,,81.46985626220703,2045300,2024-12-30
BC,,,62.40200424194336,901500,2024-12-30
BCR,,,,,2024-12-30
BDK,,,,,2024-12-30
BDX,,,173.1968536376953,2156549,2024-12-30
BEN,,,18.97917938232422,3626600,2024-12-30
BFH,,,60.31948471069336,661600,2024-12-30
BG,,,73.8686752319336,1071400,2024-12-30
BHF,,,47.970001220703125,321500,2024-12-30
BHI,,,,,2024-12-30
BIGGQ,,,0.1815000027418136,4851047,2024-12-30
BIIB,,,150.19000244140625,1163700,2024-12-30
BIO,,,326.3399963378906,101300,2024-12-30
BK,,,75.10659790039062,1891000,2024-12-30
BKNG,,,4942.78369140625,147700,2024-12-30
BKR,,,39.93247985839844,4607600,2024-12-30
BLDR,,,143.3699951171875,1671800,2024-12-30
BLK,,,1001.2180786132812,591700,2024-12-30
BLS,,,,,2024-12-30
BMC,,,,,2024-12-30
BMS,,,,,2024-12-30
BMY,,,52.78160858154297,6593700,2024-12-30
BNI,,,,,2024-12-30
BOL,,,,,2024-12-30
BR,,,221.9875946044922,389700,2024-12-30
BRCM,,,,,2024-12-30
BRL,,,,,2024-12-30
BRO,,,101.10283660888672,1080600,2024-12-30
BSX,,,89.68000030517578,3411400,2024-12-30
BTUUQ,,,,,2024-12-30
BWA,,,31.077800750732425,1546100,2024-12-30
BX,,,164.97816467285156,1899100,2024-12-30
BXLT,,,,,2024-12-30
BXP,,,69.72762298583984,616400,2024-12-30
C,,,68.13471984863281,6664400,2024-12-30
CAG,,,25.265649795532227,4551500,2024-12-30
CAH,,,115.95965576171876,1121800,2024-12-30
CAM,,,,,2024-12-30
CAR,,,78.86000061035156,619500,2024-12-30
CARR,,,67.26211547851562,2634400,2024-12-30
CAT,,,356.77496337890625,1422200,2024-12-30
CB,,,272.8155517578125,920300,2024-12-30
CBE,,,,,2024-12-30
CBOE,,,194.3151702880859,648300,2024-12-30
CBRE,,,130.27000427246094,1083500,2024-12-30
CCEP,,,74.27147674560547,1172600,2024-12-30
CCI,,,84.32685852050781,2356900,2024-12-30
CCL,,,24.934738159179688,15497600,2024-12-30
CCTYQ,,,,,2024-12-30
CDAY,,,,,2024-12-30
CDNS,,,301.8599853515625,1224300,2024-12-30
CDW,,,169.91790771484375,776800,2024-12-30
CE,,,68.01343536376953,1698600,2024-12-30
CEG,,,224.7579345703125,1587100,2024-12-30
CELG,,,,,2024-12-30
CEPH,,,,,2024-12-30
CERN,,,,,2024-12-30
CF,,,81.61654663085938,1124500,2024-12-30
CFC,,,,,2024-12-30
CFG,,,41.65851211547851,2580400,2024-12-30
CFN,,,,,2024-12-30
CHD,,,102.99302673339844,733500,2024-12-30
CHKAQ,,,,,2024-12-30
CHRW,,,100.91277313232422,881700,2024-12-30
CHTR,,,343.17999267578125,581200,2024-12-30
CI,,,268.1215515136719,1271100,2024-12-30
CIEN,,,85.01000213623047,1128500,2024-12-30
CIN,,,,,2024-12-30
CINF,,,139.91404724121094,430500,2024-12-30
CITGQ,,,,,2024-12-30
CL,,,88.10706329345703,2832100,2024-12-30
CLF,,,9.300000190734863,15497900,2024-12-30
CLX,,,153.87567138671875,765400,2024-12-30
CMA,,,58.85174560546875,875030,2024-12-30
CMCSA,,,33.37522888183594,25318096,2024-12-30
CME,,,221.8968963623047,1224500,2024-12-30
CMG,,,60.09000015258789,4929200,2024-12-30
CMI,,,340.4303894042969,409300,2024-12-30
CMS,,,64.1701889038086,1678700,2024-12-30
CMVT,,,,,2024-12-30
CMX,,,,,2024-12-30
CNC,,,60.36000061035156,2589900,2024-12-30
CNP,,,30.910627365112305,2725700,2024-12-30
CNX,,,37.04999923706055,1569500,2024-12-30
COF,,,175.0196075439453,1726500,2024-12-30
COL,,,,,2024-12-30
COO,,,91.43000030517578,835600,2024-12-30
COP,,,93.11897277832033,5238800,2024-12-30
COR,,,222.6081695556641,880500,2024-12-30
COST,,,916.171142578125,1881200,2024-12-30
COTY,,,6.920000076293945,3054100,2024-12-30
COV,,,,,2024-12-30
CPAY,,,337.57000732421875,409900,2024-12-30
CPB,,,39.05390548706055,1885900,2024-12-30
CPGX,,,,,2024-12-30
CPNLQ,,,,,2024-12-30
CPPRQ,,,,,2024-12-30
CPRI,,,20.520000457763672,2364800,2024-12-30
CPRT,,,58.130001068115234,4803800,2024-12-30
CPT,,,110.5115737915039,359100,2024-12-30
CRL,,,183.4199981689453,509200,2024-12-30
CRM,,,333.5623779296875,3411100,2024-12-30
CSC,,,,,2024-12-30
CSCO,,,57.39485549926758,12948100,2024-12-30
CSGP,,,71.81999969482422,2352400,2024-12-30
CSRA,,,,,2024-12-30
CSX,,,31.539194107055664,6598900,2024-12-30
CTAS,,,181.77099609375,1867300,2024-12-30
CTB,,,,,2024-12-30
CTLT,,,,,2024-12-30
CTRA,,,24.475276947021484,6351900,2024-12-30
CTSH,,,75.14627075195312,3208900,2024-12-30
CTVA,,,55.85982131958008,1802000,2024-12-30
CTXS,,,,,2024-12-30
CVC,,,,,2024-12-30
CVG,,,,,2024-12-30
CVH,,,,,2024-12-30
CVS,,,41.79416275024414,12153700,2024-12-30
CVX,,,135.40696716308594,6194800,2024-12-30
CXO,,,,,2024-12-30
CZR,,,32.81999969482422,4404600,2024-12-30
D,,,50.87622833251953,3202200,2024-12-30
DAL,,,59.83692932128906,5153300,2024-12-30
DALRQ,,,,,2024-12-30
DAY,,,72.48999786376953,623300,2024-12-30
DCNAQ,,,,,2024-12-30
DD,,,30.982097625732425,3536483,2024-12-30
DDS,,,420.7439880371094,119400,2024-12-30
DE,,,417.3109130859375,792500,2024-12-30
DFODQ,,,,,2024-12-30
DFS,,,,,2024-12-30
DG,,,73.48140716552734,3775400,2024-12-30
DGX,,,147.4951171875,480400,2024-12-30
DHI,,,137.52798461914062,2290600,2024-12-30
